publication_year,country_code,n_articles,n_oa_articles,n_ta_articles,prop_other_oa,prop_ta_articles,country_name
2025,CN,828437,310517,5314,0.36840821933351603,0.00641448897140036,China
2025,US,441472,168734,13692,0.3511932806610612,0.03101442447086112,United States
2025,ID,337695,101611,195,0.30031833459186547,5.774441433838227e-4,Indonesia
2025,IN,197100,41075,564,0.20553526128868593,0.0028614916286149165,India
2025,GB,105078,59597,32500,0.2578751023049544,0.30929404823083806,United Kingdom
2025,DE,92145,57359,35498,0.23724564545010582,0.3852406533181399,Germany
2025,BR,115372,27133,414,0.2315899871719308,0.0035883923308948447,Brazil
2025,JP,87257,37107,6445,0.35139874164823454,0.07386226892971337,Japan
2025,RU,79278,18352,316,0.22750321652917582,0.00398597341002548,Russia
2025,IT,74573,45024,9115,0.48152816703096296,0.12222922505464444,Italy
2025,ES,69280,33527,1427,0.46333718244803695,0.02059757505773672,Spain
2025,KR,66845,31050,744,0.4533772159473409,0.011130226643728027,South Korea
2025,CA,61501,29958,7180,0.37036796149656104,0.116746069169607,Canada
2025,FR,53995,22286,9886,0.22965089360125937,0.18309102694693954,France
2025,AU,53346,29618,16419,0.24742248715929965,0.3077831515015184,Australia
2025,TR,87559,24354,4266,0.22942244657887825,0.048721433547665005,Turkey
2025,PL,46713,21585,817,0.4445871598912508,0.017489778006122492,Poland
2025,IR,48941,19761,120,0.4013199566825361,0.002451931918023743,Iran
2025,NL,30890,20025,11538,0.2747491097442538,0.3735189381676918,Netherlands
2025,SE,19794,14296,10715,0.1809134081034657,0.5413256542386582,Sweden
2024,CN,781402,274383,2352,0.34813194744830445,0.003009974379384747,China
2024,US,436580,160020,12333,0.3382816436850062,0.028249118145586147,United States
2024,ID,364483,102554,194,0.2808361432494794,5.322607638765045e-4,Indonesia
2024,IN,207013,37716,607,0.17925927357219112,0.0029321830029998114,India
2024,GB,106731,62923,35794,0.2541810720409253,0.3353664820904892,United Kingdom
2024,DE,96085,60143,37090,0.2399229848571577,0.3860123848675652,Germany
2024,BR,126427,24758,436,0.1923797922912036,0.0034486304349545588,Brazil
2024,JP,92994,36578,5816,0.3307955351958191,0.06254166935501215,Japan
2024,RU,98050,18901,203,0.19069862315145333,0.0020703722590515042,Russia
2024,IT,76817,46267,14719,0.4106903419815926,0.19161123188877463,Italy
2024,ES,73267,35728,13079,0.30912962179425935,0.17851147174034696,Spain
2024,KR,68467,30743,925,0.43550907736573824,0.01351015817839251,South Korea
