n_articles,cr_publisher,publication_year
898482,Elsevier BV,2025
809253,Elsevier BV,2024
713157,Elsevier BV,2023
671432,Elsevier BV,2022
658957,Elsevier BV,2021
654304,Elsevier BV,2020
597536,Elsevier BV,2019
575691,Elsevier BV,2018
533300,Springer Science and Business Media LLC,2025
463684,Springer Science and Business Media LLC,2024
400261,Springer Science and Business Media LLC,2023
396192,Springer Science and Business Media LLC,2022
386008,Springer Science and Business Media LLC,2021
348577,Springer Science and Business Media LLC,2020
316058,Springer Science and Business Media LLC,2019
300277,Springer Science and Business Media LLC,2018
263693,Wiley,2025
234296,Wiley,2024
216043,Wiley,2023
244655,Wiley,2022
241887,Wiley,2021
239167,Wiley,2020
209924,Wiley,2019
203568,Wiley,2018
252737,MDPI AG,2025
237354,MDPI AG,2024
280639,MDPI AG,2023
296084,MDPI AG,2022
236752,MDPI AG,2021
161692,MDPI AG,2020
107162,MDPI AG,2019
65567,MDPI AG,2018
159081,Informa UK Limited,2025
143494,Informa UK Limited,2024
133074,Informa UK Limited,2023
140845,Informa UK Limited,2022
152144,Informa UK Limited,2021
150960,Informa UK Limited,2020
144316,Informa UK Limited,2019
130278,Informa UK Limited,2018
86615,SAGE Publications,2025
84026,SAGE Publications,2024
83181,SAGE Publications,2023
87482,SAGE Publications,2022
89558,SAGE Publications,2021
90254,SAGE Publications,2020
80102,SAGE Publications,2019
77277,SAGE Publications,2018
93246,Institute of Electrical and Electronics Engineers (IEEE),2025
89207,Institute of Electrical and Electronics Engineers (IEEE),2024
77443,Institute of Electrical and Electronics Engineers (IEEE),2023
70541,Institute of Electrical and Electronics Engineers (IEEE),2022
68876,Institute of Electrical and Electronics Engineers (IEEE),2021
71591,Institute of Electrical and Electronics Engineers (IEEE),2020
61343,Institute of Electrical and Electronics Engineers (IEEE),2019
50560,Institute of Electrical and Electronics Engineers (IEEE),2018
79929,Frontiers Media SA,2025
66571,Frontiers Media SA,2024
82557,Frontiers Media SA,2023
119820,Frontiers Media SA,2022
82557,Frontiers Media SA,2021
46880,Frontiers Media SA,2020
32715,Frontiers Media SA,2019
28760,Frontiers Media SA,2018
83180,American Chemical Society (ACS),2025
74798,American Chemical Society (ACS),2024
65932,American Chemical Society (ACS),2023
61782,American Chemical Society (ACS),2022
61693,American Chemical Society (ACS),2021
59719,American Chemical Society (ACS),2020
57145,American Chemical Society (ACS),2019
52534,American Chemical Society (ACS),2018
85879,Ovid Technologies (Wolters Kluwer Health),2025
65180,Ovid Technologies (Wolters Kluwer Health),2024
55849,Ovid Technologies (Wolters Kluwer Health),2023
55939,Ovid Technologies (Wolters Kluwer Health),2022
58715,Ovid Technologies (Wolters Kluwer Health),2021
63298,Ovid Technologies (Wolters Kluwer Health),2020
56443,Ovid Technologies (Wolters Kluwer Health),2019
53679,Ovid Technologies (Wolters Kluwer Health),2018
55846,Oxford University Press (OUP),2025
59974,Oxford University Press (OUP),2024
58283,Oxford University Press (OUP),2023
56058,Oxford University Press (OUP),2022
61153,Oxford University Press (OUP),2021
63860,Oxford University Press (OUP),2020
55895,Oxford University Press (OUP),2019
54710,Oxford University Press (OUP),2018
31936,IOP Publishing,2025
37803,IOP Publishing,2024
31066,IOP Publishing,2023
30697,IOP Publishing,2022
52152,IOP Publishing,2021
45944,IOP Publishing,2020
45657,IOP Publishing,2019
34902,IOP Publishing,2018
36702,Royal Society of Chemistry (RSC),2025
37785,Royal Society of Chemistry (RSC),2024
36075,Royal Society of Chemistry (RSC),2023
35034,Royal Society of Chemistry (RSC),2022
35477,Royal Society of Chemistry (RSC),2021
37413,Royal Society of Chemistry (RSC),2020
35715,Royal Society of Chemistry (RSC),2019
34305,Royal Society of Chemistry (RSC),2018
30499,Walter de Gruyter GmbH,2025
35500,Walter de Gruyter GmbH,2024
33437,Walter de Gruyter GmbH,2023
32049,Walter de Gruyter GmbH,2022
33165,Walter de Gruyter GmbH,2021
33181,Walter de Gruyter GmbH,2020
32299,Walter de Gruyter GmbH,2019
32871,Walter de Gruyter GmbH,2018
30726,AIP Publishing,2025
35319,AIP Publishing,2024
36433,AIP Publishing,2023
24068,AIP Publishing,2022
20475,AIP Publishing,2021
23086,AIP Publishing,2020
21537,AIP Publishing,2019
13653,AIP Publishing,2018
2490,Egypts Presidential Specialized Council for Education and Scientific Research,2024
34232,Egypts Presidential Specialized Council for Education and Scientific Research,2023
37165,Egypts Presidential Specialized Council for Education and Scientific Research,2022
36337,Egypts Presidential Specialized Council for Education and Scientific Research,2021
29193,Egypts Presidential Specialized Council for Education and Scientific Research,2020
25103,Egypts Presidential Specialized Council for Education and Scientific Research,2019
21079,Egypts Presidential Specialized Council for Education and Scientific Research,2018
22788,Cambridge University Press (CUP),2025
20438,Cambridge University Press (CUP),2024
21480,Cambridge University Press (CUP),2023
21896,Cambridge University Press (CUP),2022
23214,Cambridge University Press (CUP),2021
23041,Cambridge University Press (CUP),2020
21187,Cambridge University Press (CUP),2019
20831,Cambridge University Press (CUP),2018
23253,American Physical Society (APS),2025
21215,American Physical Society (APS),2024
19870,American Physical Society (APS),2023
19492,American Physical Society (APS),2022
19113,American Physical Society (APS),2021
22116,American Physical Society (APS),2020
20225,American Physical Society (APS),2019
19814,American Physical Society (APS),2018
23844,Public Library of Science (PLoS),2025
21291,Public Library of Science (PLoS),2024
18940,Public Library of Science (PLoS),2023
19864,Public Library of Science (PLoS),2022
20215,Public Library of Science (PLoS),2021
19659,Public Library of Science (PLoS),2020
