cr_publisher,country_code,publication_year,journal_business_model,n_articles,n_oa_articles,n_ta_articles
Elsevier BV,MX,2025,Full OA,486,428,4
Elsevier BV,QA,2025,Full OA,141,129,2
Elsevier BV,DZ,2025,Hybrid,1077,78,12
Elsevier BV,NZ,2025,Hybrid,883,506,452
Elsevier BV,CN,2025,Hybrid,190942,10417,806
Elsevier BV,EG,2025,Hybrid,2791,224,39
Elsevier BV,DE,2025,Hybrid,7632,4887,4432
Elsevier BV,US,2025,Full OA,13970,11940,791
Elsevier BV,IN,2025,Hybrid,22648,1264,64
Elsevier BV,HR,2025,Hybrid,326,40,3
Elsevier BV,CO,2025,Full OA,331,307,4
Elsevier BV,IR,2025,Full OA,2595,2414,17
Elsevier BV,BR,2025,Full OA,3115,1021,10
Elsevier BV,KZ,2025,Hybrid,332,55,16
Elsevier BV,PS,2025,Hybrid,88,14,1
Elsevier BV,SE,2025,Full OA,767,702,629
Elsevier BV,ID,2025,Full OA,1039,896,14
Elsevier BV,HU,2025,Hybrid,744,268,256
Elsevier BV,SA,2025,Hybrid,2885,235,21
Elsevier BV,ES,2025,Full OA,2359,2000,22
Elsevier BV,IQ,2025,Full OA,352,291,9
Elsevier BV,ET,2025,Full OA,591,551,8
Elsevier BV,CA,2025,Full OA,2042,1729,25
Elsevier BV,BD,2025,Full OA,914,742,13
Elsevier BV,NP,2025,Hybrid,184,25,7
Elsevier BV,GH,2025,Hybrid,257,43,4
Elsevier BV,BG,2025,Full OA,58,45,3
Elsevier BV,BI,2025,Hybrid,10,3,3
Elsevier BV,PE,2025,Hybrid,265,45,4
Elsevier BV,DK,2025,Full OA,523,485,13
Elsevier BV,AE,2025,Hybrid,754,207,10
Elsevier BV,LV,2025,Hybrid,84,25,3
Elsevier BV,RU,2025,Full OA,295,186,5
Elsevier BV,FI,2025,Full OA,383,355,285
Elsevier BV,AM,2025,Hybrid,99,19,8
Elsevier BV,LA,2025,Hybrid,14,4,0
Elsevier BV,CU,2025,Full OA,14,11,0
Elsevier BV,TN,2025,Hybrid,1636,117,14
Elsevier BV,BN,2025,Hybrid,46,2,0
Elsevier BV,MY,2025,Hybrid,2038,212,36
Elsevier BV,NE,2025,Hybrid,10,2,0
Elsevier BV,PY,2025,Full OA,10,8,1
Elsevier BV,UA,2025,Full OA,121,103,5
Elsevier BV,MK,2025,Hybrid,67,26,24
Elsevier BV,SK,2025,Full OA,129,117,101
Elsevier BV,CL,2025,Hybrid,1264,95,11
Elsevier BV,ZW,2025,Hybrid,33,6,2
Elsevier BV,RE,2025,Full OA,8,7,6
Elsevier BV,UY,2025,Full OA,33,23,0
Elsevier BV,CL,2025,Full OA,269,217,4
Elsevier BV,ID,2025,Hybrid,1504,138,35
Elsevier BV,SG,2025,Hybrid,1815,237,25
Elsevier BV,AG,2025,Full OA,14,12,0
Elsevier BV,BA,2025,Hybrid,39,3,0
Elsevier BV,VE,2025,Hybrid,38,7,1
Elsevier BV,BN,2025,Full OA,19,12,0
Elsevier BV,MQ,2025,Full OA,5,5,4
Elsevier BV,KY,2025,Hybrid,2,0,0
Elsevier BV,NE,2025,Full OA,11,11,1
Elsevier BV,TD,2025,Hybrid,5,1,0
Elsevier BV,AM,2025,Full OA,26,18,0
Elsevier BV,XK,2025,Hybrid,22,1,0
Elsevier BV,CD,2025,Full OA,27,24,3
Elsevier BV,EG,2025,Full OA,635,554,14
Elsevier BV,MG,2025,Full OA,12,12,2
Elsevier BV,KH,2025,Hybrid,64,10,1
Elsevier BV,KH,2025,Full OA,27,22,2
Elsevier BV,LY,2025,Hybrid,38,5,2
Elsevier BV,PF,2025,Full OA,2,1,0
Elsevier BV,MQ,2025,Hybrid,23,5,5
Elsevier BV,BJ,2025,Full OA,36,34,5
Elsevier BV,XK,2025,Full OA,4,2,0
Elsevier BV,ST,2025,Full OA,6,1,0
Elsevier BV,LI,2025,Hybrid,5,3,1
Elsevier BV,MY,2025,Full OA,700,587,4
Elsevier BV,MO,2025,Hybrid,562,41,2
