cr_publisher,publication_year,journal_business_model,n_articles,n_oa_articles,n_ta_articles
Elsevier BV,2025,Hybrid,720332,137943,34500
Elsevier BV,2025,Full OA,178150,148596,7785
Elsevier BV,2024,Hybrid,650168,122922,55190
Elsevier BV,2024,Full OA,159085,132041,8918
Elsevier BV,2023,Hybrid,579102,90362,48046
Elsevier BV,2023,Full OA,134055,111262,6510
Elsevier BV,2022,Hybrid,555595,63005,31461
Elsevier BV,2022,Full OA,115837,94810,5077
Elsevier BV,2021,Hybrid,554077,52102,19417
Elsevier BV,2021,Full OA,104880,79671,4295
Elsevier BV,2020,Full OA,90041,62994,2238
Elsevier BV,2020,Hybrid,564263,37064,7985
Elsevier BV,2019,Full OA,67107,39903,34
Elsevier BV,2019,Hybrid,530429,24986,128
Elsevier BV,2018,Hybrid,519083,22455,6
Elsevier BV,2018,Full OA,56608,29378,5
Springer Science and Business Media LLC,2025,Hybrid,336112,80687,29524
Springer Science and Business Media LLC,2025,Full OA,197188,173749,7513
Springer Science and Business Media LLC,2024,Hybrid,316995,71309,39590
Springer Science and Business Media LLC,2024,Full OA,146689,129342,7935
Springer Science and Business Media LLC,2023,Full OA,112341,99011,7919
Springer Science and Business Media LLC,2023,Hybrid,287920,57425,35292
Springer Science and Business Media LLC,2022,Full OA,108000,95582,7826
Springer Science and Business Media LLC,2022,Hybrid,288193,49904,30382
Springer Science and Business Media LLC,2021,Hybrid,277734,43109,22202
Springer Science and Business Media LLC,2021,Full OA,108274,96487,6442
Springer Science and Business Media LLC,2020,Hybrid,251848,32748,15433
Springer Science and Business Media LLC,2020,Full OA,96729,83245,5728
Springer Science and Business Media LLC,2019,Hybrid,230957,21715,5103
Springer Science and Business Media LLC,2019,Full OA,85101,72854,213
Springer Science and Business Media LLC,2018,Hybrid,224315,20337,1629
Springer Science and Business Media LLC,2018,Full OA,75962,65780,48
Wiley,2025,Hybrid,210712,74516,39627
Wiley,2025,Full OA,52981,48040,10128
Wiley,2024,Hybrid,191697,66978,43899
Wiley,2024,Full OA,42599,38531,8614
Wiley,2023,Hybrid,176807,60313,40654
Wiley,2023,Full OA,39236,35925,7249
Wiley,2022,Hybrid,195497,67794,29093
Wiley,2022,Full OA,49158,43533,5102
Wiley,2021,Hybrid,192562,45144,17578
Wiley,2021,Full OA,49325,41376,2946
Wiley,2020,Hybrid,194478,36168,12314
Wiley,2020,Full OA,44689,36488,2344
Wiley,2019,Hybrid,175592,23208,3490
Wiley,2019,Full OA,34332,26811,777
Wiley,2018,Hybrid,171789,18816,18
Wiley,2018,Full OA,31779,23960,0
MDPI AG,2025,Full OA,252737,245789,0
MDPI AG,2024,Full OA,237354,232850,0
MDPI AG,2023,Full OA,280639,277008,4
MDPI AG,2022,Full OA,296084,293139,0
MDPI AG,2021,Full OA,236752,235479,1
MDPI AG,2020,Full OA,161692,161252,0
MDPI AG,2019,Full OA,107162,106896,0
MDPI AG,2018,Full OA,65567,65277,0
Informa UK Limited,2025,Hybrid,129145,13273,9160
Informa UK Limited,2025,Full OA,29936,26554,1222
Informa UK Limited,2024,Hybrid,117151,12116,8576
Informa UK Limited,2024,Full OA,26343,23231,973
Informa UK Limited,2023,Hybrid,108540,17742,11218
Informa UK Limited,2023,Full OA,24534,21363,451
Informa UK Limited,2022,Hybrid,116074,11400,5700
Informa UK Limited,2022,Full OA,24771,20087,487
Informa UK Limited,2021,Hybrid,125201,8145,3114
Informa UK Limited,2021,Full OA,26943,19440,249
Informa UK Limited,2020,Hybrid,126042,6696,649
Informa UK Limited,2020,Full OA,24918,17133,103
Informa UK Limited,2019,Hybrid,122735,6769,0
Informa UK Limited,2019,Full OA,21581,13797,0
Informa UK Limited,2018,Hybrid,111198,5787,0
Informa UK Limited,2018,Full OA,19080,12983,0
SAGE Publications,2025,Hybrid,69656,16400,9315
SAGE Publications,2025,Full OA,16959,13846,1691
SAGE Publications,2024,Hybrid,68165,14883,8794
SAGE Publications,2024,Full OA,15861,12999,1602
SAGE Publications,2023,Hybrid,69027,14087,8831
SAGE Publications,2023,Full OA,14154,11621,1454
SAGE Publications,2022,Hybrid,72055,10342,6790
SAGE Publications,2022,Full OA,15427,12778,969
SAGE Publications,2021,Hybrid,74371,9292,5264
SAGE Publications,2021,Full OA,15187,12551,662
SAGE Publications,2020,Hybrid,75677,6941,2897
SAGE Publications,2020,Full OA,14577,11852,210
SAGE Publications,2019,Hybrid,67412,3270,56
SAGE Publications,2019,Full OA,12690,10336,9
SAGE Publications,2018,Hybrid,66560,2675,0
SAGE Publications,2018,Full OA,10717,7894,0
Institute of Electrical and Electronics Engineers (IEEE),2025,Hybrid,77016,3416,698
Institute of Electrical and Electronics Engineers (IEEE),2025,Full OA,16230,15555,2538
Institute of Electrical and Electronics Engineers (IEEE),2024,Hybrid,71728,3224,895
Institute of Electrical and Electronics Engineers (IEEE),2024,Full OA,17479,16663,849
Institute of Electrical and Electronics Engineers (IEEE),2023,Hybrid,63714,3295,986
Institute of Electrical and Electronics Engineers (IEEE),2023,Full OA,13729,12925,683
Institute of Electrical and Electronics Engineers (IEEE),2022,Hybrid,58006,3125,678
