country_code,publication_year,n_articles,n_oa_articles,n_ta_articles
NA,2025,1840346,418570,27
FR,2025,53995,22286,18509
DZ,2025,8176,2041,93
ID,2025,337695,101611,289
TH,2025,19453,9225,235
CN,2025,828437,310517,53757
KZ,2025,8711,3866,116
RU,2025,79278,18352,864
IN,2025,197100,41075,1278
GB,2025,105078,59597,47355
ES,2025,69280,33527,3289
IT,2025,74573,45024,13109
US,2025,441472,168734,21725
SA,2025,28623,14580,639
TR,2025,87559,24354,11835
VN,2025,15533,4560,290
KR,2025,66845,31050,1738
PL,2025,46713,21585,1262
AU,2025,53346,29618,26964
BG,2025,5344,2373,148
JP,2025,87257,37107,11268
HK,2025,13628,5512,1387
CZ,2025,13958,6599,3331
DE,2025,92145,57359,43531
ZA,2025,20654,12166,5503
IL,2025,12978,7240,4627
MD,2025,947,255,34
NL,2025,30890,20025,14600
IE,2025,9454,4912,4584
QA,2025,3034,1879,86
CH,2025,21371,13619,9432
PT,2025,17650,9109,1630
SS,2025,456,216,144
CO,2025,13891,4668,1275
FI,2025,11620,7340,6017
HU,2025,12175,6179,2484
CL,2025,12926,4160,191
SE,2025,19794,14296,12721
CA,2025,61501,29958,12103
MX,2025,31835,12036,316
BR,2025,115372,27133,760
EC,2025,16985,6599,40
NG,2025,22140,6959,254
UA,2025,19745,4682,197
DK,2025,13356,7753,4760
MY,2025,29082,9899,350
GR,2025,13865,8219,182
TW,2025,25267,11335,227
BY,2025,2665,588,75
RO,2025,13787,8595,140
PE,2025,9549,2795,41
AT,2025,13300,8412,6363
PK,2025,36815,13464,281
IR,2025,48941,19761,303
EG,2025,27590,10272,324
SG,2025,11276,3963,378
SI,2025,4721,2641,721
GE,2025,1554,403,11
AZ,2025,3474,1159,118
NZ,2025,7476,3808,3299
SK,2025,5361,2556,1066
KH,2025,1427,563,106
PH,2025,9536,3503,99
ML,2025,225,90,7
CY,2025,2948,1378,244
MA,2025,10800,3211,207
NO,2025,12851,7424,3999
BO,2025,1202,337,19
NE,2025,178,84,1
TD,2025,81,27,6
PY,2025,1028,240,3
HR,2025,6156,2399,46
JO,2025,6406,2719,83
IQ,2025,19398,6104,103
MK,2025,1415,447,247
AR,2025,12868,2856,125
PA,2025,1907,722,17
ME,2025,792,256,33
MZ,2025,673,272,28
BE,2025,16314,6356,732
ET,2025,9512,5839,213
LI,2025,55,29,13
CR,2025,3569,996,61
OM,2025,1984,722,31
YE,2025,1590,505,16
LY,2025,1596,794,14
LB,2025,2701,1302,59
BD,2025,15204,5809,349
BH,2025,697,294,29
GH,2025,5588,2334,106
MG,2025,261,106,8
AE,2025,7300,3314,138
RS,2025,6237,2621,60
BJ,2025,686,305,31
TN,2025,6610,2031,145
CM,2025,2484,860,63
TZ,2025,3941,1594,73
UG,2025,2983,1511,86
KE,2025,5703,1927,145
UZ,2025,5941,1591,46
BW,2025,611,289,67
MQ,2025,83,49,25
CI,2025,774,307,20
AM,2025,2079,597,37
NP,2025,6887,2150,65
PG,2025,153,61,3
MW,2025,699,323,37
EE,2025,1922,909,75
PS,2025,1707,893,23
BF,2025,733,300,17
MO,2025,3815,1648,45
LT,2025,3710,1831,188
LU,2025,965,479,47
GY,2025,99,34,2
DO,2025,544,223,6
CD,2025,789,339,15
VE,2025,1223,345,12
SD,2025,1252,551,44
KW,2025,1708,844,24
BI,2025,293,109,41
IS,2025,885,381,41
FJ,2025,283,113,3
RW,2025,1443,653,30
LV,2025,2090,1010,38
MN,2025,1345,489,23
SY,2025,975,566,8
SN,2025,660,223,23
UY,2025,1868,414,26
SO,2025,567,338,7
ZM,2025,1332,496,31
VC,2025,20,6,0
SL,2025,170,75,5
GF,2025,115,46,15
SC,2025,42,17,1
SV,2025,524,100,0
AG,2025,958,356,90
GD,2025,132,51,1
LK,2025,2562,966,95
BA,2025,1511,432,4
TJ,2025,2101,499,9
KG,2025,1103,194,10
NI,2025,651,210,5
BN,2025,542,159,5
MM,2025,636,249,15
TT,2025,270,95,6
TL,2025,174,57,0
KP,2025,327,73,5
MV,2025,207,66,4
AF,2025,840,398,2
AL,2025,1083,395,9
PR,2025,1239,484,41
HN,2025,396,141,3
KN,2025,281,103,10
ZW,2025,1508,479,50
CU,2025,1111,352,15
MT,2025,577,278,26
NC,2025,48,24,16
RE,2025,179,87,65
MC,2025,60,20,9
TG,2025,393,166,7
GT,2025,669,240,3
GA,2025,114,66,11
HT,2025,30,12,1
NA,2025,360,206,40
XK,2025,613,198,5
GP,2025,112,47,22
LA,2025,271,67,14
BS,2025,43,6,1
GN,2025,144,48,0
CW,2025,52,20,3
PF,2025,44,17,20
LR,2025,51,23,0
CV,2025,32,12,1
CG,2025,239,144,6
AO,2025,293,70,1
GL,2025,36,29,7
GW,2025,47,19,9
GU,2025,62,30,1
TM,2025,99,41,3
ER,2025,23,14,1
JM,2025,136,45,3
SR,2025,46,10,0
FO,2025,49,22,1
BB,2025,74,25,3
ST,2025,49,13,0
BT,2025,138,86,3
MU,2025,188,39,7
LS,2025,88,39,3
GM,2025,185,86,12
JE,2025,14,8,6
SM,2025,30,13,2
SZ,2025,76,27,3
DJ,2025,30,12,5
MR,2025,57,24,2
TC,2025,34,1,0
KY,2025,18,7,0
VI,2025,18,4,0
TO,2025,29,13,1
LC,2025,16,7,0
AD,2025,12,5,1
CF,2025,32,11,1
BM,2025,13,3,1
GI,2025,18,7,3
VA,2025,16,2,0
AW,2025,10,4,0
KI,2025,3,2,0
BZ,2025,22,3,0
SX,2025,22,5,0
WS,2025,11,2,0
SJ,2025,12,11,4
FK,2025,7,1,0
MP,2025,4,1,0
PW,2025,3,2,0
VG,2025,20,2,0
FM,2025,5,1,0
NU,2025,8,1,0
DM,2025,14,6,0
TV,2025,1,1,0
MS,2025,2,1,0
VU,2025,7,0,0
IM,2025,9,2,1
AS,2025,27,12,0
CK,2025,1,1,0
BQ,2025,1,0,0
SB,2025,3,0,0
AX,2025,2,0,0
ID,2024,364483,102554,302
HU,2024,12454,6027,3171
UZ,2024,6641,1753,35
NA,2024,1513477,277953,20
YE,2024,1494,463,13
MX,2024,32580,10475,319
TR,2024,80117,20942,10401
IN,2024,207013,37716,1279
ZA,2024,20181,11873,6081
CN,2024,781402,274383,6609
US,2024,436580,160020,19472
PH,2024,8199,2102,68
AU,2024,54073,31361,26391
IL,2024,13439,6625,3520
IQ,2024,20984,6645,111
ES,2024,73267,35728,20572
DE,2024,96085,60143,46122
SE,2024,21056,15697,13011
PT,2024,19818,10184,5445
TW,2024,23991,10742,223
