country_code,publication_year,journal_business_model,n_articles,n_oa_articles,n_ta_articles
ID,2025,Hybrid,292120,81744,146
NA,2025,Hybrid,1528093,256341,8
VE,2025,Hybrid,862,257,5
JP,2025,Hybrid,59282,13301,4915
GB,2025,Hybrid,73827,35835,27108
PK,2025,Hybrid,28317,7437,86
HK,2025,Hybrid,10215,2608,657
GR,2025,Hybrid,6830,2188,100
CA,2025,Hybrid,42180,14931,6443
AU,2025,Hybrid,38600,17534,14367
ES,2025,Hybrid,37781,14385,1058
IN,2025,Hybrid,156239,18097,424
NL,2025,Hybrid,21270,12447,9866
US,2025,Hybrid,321890,75330,10529
CN,2025,Hybrid,541988,47354,2425
DE,2025,Hybrid,62284,33208,25819
IT,2025,Hybrid,40663,17276,7699
FI,2025,Hybrid,8046,5001,4030
PL,2025,Hybrid,21757,6214,679
PH,2025,Hybrid,7677,2644,41
FR,2025,Hybrid,38584,11493,6911
UZ,2025,Hybrid,5019,1330,25
RO,2025,Hybrid,4904,1374,78
CN,2025,Full OA,286449,263163,2889
KR,2025,Full OA,26832,23500,80
JP,2025,Full OA,27975,23806,1530
US,2025,Full OA,119582,93404,3163
VN,2025,Full OA,4570,3022,32
JO,2025,Full OA,2594,2141,14
CI,2025,Full OA,220,149,6
IT,2025,Full OA,33910,27748,1416
BG,2025,Full OA,2680,1868,19
IN,2025,Full OA,40861,22978,140
IS,2025,Full OA,333,226,6
CO,2025,Full OA,7144,2969,71
ZA,2025,Hybrid,10149,4534,2785
CH,2025,Hybrid,13094,7320,5752
NZ,2025,Hybrid,5535,2328,1783
IL,2025,Hybrid,8697,3523,2412
IR,2025,Hybrid,29296,4160,78
VN,2025,Hybrid,10963,1538,119
AT,2025,Hybrid,8898,4826,3878
TW,2025,Hybrid,15401,2747,93
HU,2025,Hybrid,6887,2581,1119
NO,2025,Hybrid,7986,4078,2823
MA,2025,Hybrid,7263,962,46
PR,2025,Hybrid,839,229,26
IQ,2025,Hybrid,11849,2438,35
RU,2025,Hybrid,57572,11379,233
BR,2025,Hybrid,65448,10844,313
NG,2025,Hybrid,16328,4386,89
PL,2025,Full OA,24956,15371,138
SA,2025,Full OA,13821,12069,68
MO,2025,Full OA,1332,1200,4
TZ,2025,Full OA,1576,1004,19
ID,2025,Full OA,45575,19867,49
NA,2025,Full OA,312253,162229,1
SK,2025,Full OA,2325,1600,153
MY,2025,Full OA,7579,5244,38
TH,2025,Hybrid,10965,2067,93
MX,2025,Hybrid,19699,5332,142
SE,2025,Hybrid,12351,8504,7364
DZ,2025,Hybrid,6042,836,26
DK,2025,Hybrid,9055,4396,3154
UA,2025,Hybrid,11923,2831,96
KR,2025,Hybrid,40013,7550,664
BE,2025,Hybrid,11116,2349,375
IE,2025,Hybrid,6604,2603,2016
BD,2025,Hybrid,10157,2155,135
PE,2025,Hybrid,5578,1193,22
PT,2025,Hybrid,9636,3375,843
TR,2025,Hybrid,61547,10790,3481
SA,2025,Hybrid,14802,2511,293
MY,2025,Hybrid,21503,4655,118
AR,2025,Hybrid,7488,1441,51
IS,2025,Hybrid,552,155,19
CZ,2025,Hybrid,9355,3371,1942
CO,2025,Hybrid,6747,1699,465
SK,2025,Hybrid,3036,956,445
AZ,2025,Hybrid,2825,859,40
CA,2025,Full OA,19321,15027,737
AR,2025,Full OA,5380,1415,12
AU,2025,Full OA,14746,12084,2052
RO,2025,Full OA,8883,7221,26
ES,2025,Full OA,31499,19142,369
BD,2025,Full OA,5047,3654,71
NG,2025,Full OA,5812,2573,42
TR,2025,Full OA,26012,13564,785
RU,2025,Full OA,21706,6973,83
CY,2025,Full OA,1147,881,10
EG,2025,Hybrid,15601,2984,144
KE,2025,Hybrid,4120,850,59
AG,2025,Hybrid,578,99,11
ZA,2025,Full OA,10505,7632,560
GR,2025,Full OA,7035,6031,24
IR,2025,Full OA,19645,15601,42
HR,2025,Full OA,3475,1955,5
TH,2025,Full OA,8488,7158,40
PK,2025,Full OA,8498,6027,35
ET,2025,Hybrid,3467,818,88
CL,2025,Hybrid,6673,995,73
DO,2025,Hybrid,412,167,4
EC,2025,Full OA,3551,1734,11
ZW,2025,Full OA,503,290,12
GB,2025,Full OA,31251,23762,5392
BR,2025,Full OA,49924,16289,101
KZ,2025,Full OA,3318,2213,11
AL,2025,Full OA,310,189,1
DE,2025,Full OA,29861,24151,9679
QA,2025,Hybrid,1704,800,39
JO,2025,Hybrid,3812,578,28
SG,2025,Full OA,3236,2516,37
IL,2025,Full OA,4281,3717,72
MX,2025,Full OA,12136,6704,24
LS,2025,Full OA,40,24,1
TW,2025,Full OA,9866,8588,30
PT,2025,Full OA,8014,5734,67
SV,2025,Full OA,124,21,0
NL,2025,Full OA,9620,7578,1672
TJ,2025,Full OA,512,81,0
SG,2025,Hybrid,8040,1447,176
ZW,2025,Hybrid,1005,189,17
BA,2025,Hybrid,841,183,0
NZ,2025,Full OA,1941,1480,254
RW,2025,Full OA,597,453,13
BE,2025,Full OA,5198,4007,87
SI,2025,Full OA,2254,1551,32
CZ,2025,Full OA,4603,3228,230
LU,2025,Hybrid,654,240,24
TZ,2025,Hybrid,2365,590,30
FR,2025,Full OA,15411,10793,2975
AE,2025,Full OA,2913,2320,16
CH,2025,Full OA,8277,6299,1587
IE,2025,Full OA,2850,2309,673
JE,2025,Full OA,4,4,2
CL,2025,Full OA,6253,3165,32
AG,2025,Full OA,380,257,10
EG,2025,Full OA,11989,7288,51
SE,2025,Full OA,7443,5792,3351
AT,2025,Full OA,4402,3586,887
GT,2025,Full OA,146,66,0
NI,2025,Hybrid,392,119,2
TJ,2025,Hybrid,1589,418,0
KZ,2025,Hybrid,5393,1653,49
PY,2025,Hybrid,724,157,1
MW,2025,Full OA,359,256,10
PS,2025,Full OA,824,696,6
MA,2025,Full OA,3537,2249,28
TN,2025,Full OA,1825,1462,18
PH,2025,Full OA,1859,859,11
FI,2025,Full OA,3574,2339,854
LK,2025,Full OA,995,643,13
RS,2025,Full OA,3347,2100,10
MO,2025,Hybrid,2483,448,9
SI,2025,Hybrid,2467,1090,524
AM,2025,Hybrid,1636,380,22
EC,2025,Hybrid,13434,4865,17
AZ,2025,Full OA,649,300,5
TT,2025,Full OA,110,65,2
SN,2025,Hybrid,457,92,7
UG,2025,Hybrid,1511,354,38
AE,2025,Hybrid,4387,994,57
RS,2025,Hybrid,2890,521,29
KE,2025,Full OA,1583,1077,37
NO,2025,Full OA,4865,3346,303
HU,2025,Full OA,5288,3598,543
GW,2025,Hybrid,37,14,8
ME,2025,Hybrid,531,66,5
GH,2025,Hybrid,3147,637,27
KW,2025,Hybrid,998,244,12
IQ,2025,Full OA,7549,3666,23
YE,2025,Full OA,595,342,0
NE,2025,Full OA,67,48,1
HK,2025,Full OA,3413,2904,39
KH,2025,Hybrid,979,257,25
MZ,2025,Hybrid,388,116,14
UG,2025,Full OA,1472,1157,18
LU,2025,Full OA,311,239,4
NP,2025,Hybrid,5076,1103,24
CI,2025,Hybrid,554,158,8
PE,2025,Full OA,3971,1602,6
MG,2025,Hybrid,179,41,4
LY,2025,Hybrid,1366,699,9
AO,2025,Hybrid,223,46,1
KH,2025,Full OA,448,306,23
NP,2025,Full OA,1811,1047,15
QA,2025,Full OA,1330,1079,25
GA,2025,Full OA,58,47,5
LB,2025,Full OA,1239,1039,9
DK,2025,Full OA,4301,3357,103
SO,2025,Full OA,335,275,3
FJ,2025,Full OA,88,67,0
UA,2025,Full OA,7822,1851,26
BJ,2025,Hybrid,397,101,10
MM,2025,Hybrid,471,151,7
TN,2025,Hybrid,4785,569,37
BJ,2025,Full OA,289,204,11
BO,2025,Hybrid,842,250,8
GH,2025,Full OA,2441,1697,23
MN,2025,Hybrid,1015,293,12
SL,2025,Hybrid,104,32,0
SD,2025,Full OA,519,380,11
LT,2025,Full OA,2280,1460,31
DM,2025,Full OA,6,4,0
ET,2025,Full OA,6045,5021,60
MK,2025,Hybrid,1054,267,97
CM,2025,Hybrid,1675,282,22
MN,2025,Full OA,330,196,2
CR,2025,Full OA,1125,234,16
EE,2025,Full OA,794,594,10
BG,2025,Hybrid,2664,505,58
OM,2025,Full OA,758,496,6
PR,2025,Full OA,400,255,3
SO,2025,Hybrid,232,63,1
DZ,2025,Full OA,2134,1205,8
SR,2025,Hybrid,42,9,0
KW,2025,Full OA,710,600,4
LV,2025,Full OA,929,685,5
RE,2025,Full OA,67,50,17
SD,2025,Hybrid,733,171,12
CM,2025,Full OA,809,578,17
ML,2025,Full OA,97,53,3
CR,2025,Hybrid,2444,762,19
AL,2025,Hybrid,773,206,3
CU,2025,Hybrid,798,227,9
SS,2025,Full OA,138,105,32
BI,2025,Full OA,92,43,11
MD,2025,Hybrid,445,123,11
HR,2025,Hybrid,2681,444,27
KN,2025,Hybrid,195,28,3
RE,2025,Hybrid,112,37,24
SM,2025,Full OA,10,7,0
AM,2025,Full OA,443,217,3
AF,2025,Hybrid,671,273,1
LC,2025,Hybrid,14,5,0
MM,2025,Full OA,165,98,1
LA,2025,Full OA,63,45,4
LB,2025,Hybrid,1462,263,17
PA,2025,Hybrid,1575,564,12
XK,2025,Hybrid,341,66,1
GA,2025,Hybrid,56,19,4
GE,2025,Hybrid,1255,258,3
GL,2025,Full OA,22,20,1
GI,2025,Full OA,7,5,2
CG,2025,Hybrid,159,86,0
LA,2025,Hybrid,208,22,3
TG,2025,Hybrid,242,70,3
UY,2025,Hybrid,1220,198,11
BW,2025,Full OA,253,192,3
EE,2025,Hybrid,1128,315,35
SV,2025,Hybrid,400,79,0
BA,2025,Full OA,670,249,0
CG,2025,Full OA,80,58,2
LV,2025,Hybrid,1161,325,21
CD,2025,Full OA,367,238,5
NA,2025,Full OA,130,96,6
OM,2025,Hybrid,1226,226,9
CU,2025,Full OA,313,125,2
TM,2025,Hybrid,88,41,2
SN,2025,Full OA,203,131,8
CY,2025,Hybrid,1801,497,67
UY,2025,Full OA,648,216,2
LK,2025,Hybrid,1567,323,46
YE,2025,Hybrid,995,163,2
BY,2025,Hybrid,2002,433,35
BY,2025,Full OA,663,155,13
SS,2025,Hybrid,318,111,71
MW,2025,Hybrid,340,67,13
TL,2025,Full OA,30,13,0
RW,2025,Hybrid,846,200,10
MV,2025,Hybrid,154,23,2
BF,2025,Hybrid,422,76,10
FJ,2025,Hybrid,195,46,1
KI,2025,Full OA,2,2,0
DO,2025,Full OA,132,56,2
ZM,2025,Full OA,465,294,7
KG,2025,Full OA,193,76,3
SY,2025,Full OA,503,419,2
LT,2025,Hybrid,1430,371,95
PS,2025,Hybrid,883,197,8
CD,2025,Hybrid,422,101,3
NA,2025,Hybrid,230,110,19
UZ,2025,Full OA,922,261,1
BH,2025,Hybrid,402,57,1
KG,2025,Hybrid,910,118,3
ZM,2025,Hybrid,867,202,9
MZ,2025,Full OA,285,156,6
HN,2025,Full OA,133,60,1
GD,2025,Hybrid,85,16,0
MU,2025,Full OA,50,28,3
TL,2025,Hybrid,144,44,0
LR,2025,Full OA,27,17,0
BW,2025,Hybrid,358,97,25
BF,2025,Full OA,311,224,3
KN,2025,Full OA,86,75,0
LS,2025,Hybrid,48,15,0
MG,2025,Full OA,82,65,2
LI,2025,Full OA,16,13,0
BN,2025,Full OA,156,95,0
GT,2025,Hybrid,523,174,1
PA,2025,Full OA,332,158,3
LI,2025,Hybrid,39,16,11
MT,2025,Hybrid,359,119,9
MK,2025,Full OA,361,180,4
BN,2025,Hybrid,386,64,0
ME,2025,Full OA,261,190,2
GP,2025,Full OA,50,33,6
KP,2025,Hybrid,274,30,0
BH,2025,Full OA,295,237,5
GY,2025,Full OA,28,17,1
HN,2025,Hybrid,263,81,1
BO,2025,Full OA,360,87,5
SY,2025,Hybrid,472,147,2
LY,2025,Full OA,230,95,0
SX,2025,Hybrid,18,2,0
TT,2025,Hybrid,160,30,2
GW,2025,Full OA,10,5,0
SC,2025,Hybrid,32,13,1
AF,2025,Full OA,169,125,0
TG,2025,Full OA,151,96,1
ML,2025,Hybrid,128,37,2
BT,2025,Hybrid,96,53,2
MD,2025,Full OA,502,132,1
XK,2025,Full OA,272,132,1
GN,2025,Hybrid,92,10,0
BQ,2025,Hybrid,1,0,0
MU,2025,Hybrid,138,11,1
PY,2025,Full OA,304,83,2
VE,2025,Full OA,361,88,1
PG,2025,Full OA,46,29,1
GM,2025,Hybrid,110,30,6
JM,2025,Full OA,47,34,1
GY,2025,Hybrid,71,17,1
NC,2025,Full OA,21,17,6
GE,2025,Full OA,299,145,1
GP,2025,Hybrid,62,14,9
